{SimaPro 9.3.0.3};;;;;;
{methods};;;;;;
{Date: 2/22/2023};;;;;;
{Time: 12:10:37 PM};;;;;;
{Project: 2022_mobilita};;;;;;
{CSV Format version: 9.0.0};;;;;;
{CSV separator: Semicolon};;;;;;
{Decimal separator: .};;;;;;
{Date separator: /};;;;;;
{Short date format: M/d/yyyy};;;;;;
{Export platform IDs: Yes};;;;;;
{Selection: Selection (1)};;;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;;
{Include sub product stages and processes: No};;;;;;
{Open project: '2022_mobilita'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - system'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - unit'};;;;;;
{Library 'Methods'};;;;;;
;;;;;;
Method;;;;;;
;;;;;;
Name;;;;;;
RSE CLCC e critical CLCC;;;;;;
;;;;;;
Version;;;;;;
Raw;(unspecified);Cadmium;007440-43-9;1.57E-01;kg;4D1771FC-71B5-484A-9747-5C528E9CFD4C
Raw;(unspecified);Chlorine;022537-15-1;2.71E-05;kg;54DAA03F-8DAB-4273-8874-54D01FA4FFF1
Raw;in water;Chlorine;022537-15-1;0;kg;54DAA03F-8DAB-4273-8874-54D01FA4FFF1
Raw;(unspecified);Chromium;007440-47-3;4.43E-04;kg;8E7EE822-3789-48DB-B682-49F8482AE198
Raw;(unspecified);Cobalt;007440-48-4;1.57E-05;kg;3F7015A7-2EA9-4FD6-A4C0-423F4D85FFAA
Raw;(unspecified);Cobalt, Co 5.0E-2%, in mixed ore;007440-48-4;1.57E-05;kg;ECBCC624-5CD2-476C-8997-B295FB1CD6C6
Raw;(unspecified);Copper;007440-50-8;1.37E-03;kg;55BC4F51-1E2A-4683-B219-5DDA9674AF59
Raw;(unspecified);Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore;007440-50-8;1.37E-03;kg;8D9F275B-841C-4F60-BFF2-B174306F3138
Raw;(unspecified);Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore;007440-50-8;1.37E-03;kg;1174C506-20D7-4B64-985A-6C8F182836E5
Raw;(unspecified);Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore;007440-50-8;1.37E-03;kg;7DA07A31-4DE5-4EF5-8E37-E45A438EB4E6
Raw;(unspecified);Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore;007440-50-8;1.37E-03;kg;EA870435-7371-4683-82D1-BE43E5346C5F
Raw;(unspecified);Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore;007440-50-8;1.37E-03;kg;8C380983-8097-44D9-9ACC-D599C79B9943
Raw;(unspecified);Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore;007440-50-8;1.37E-03;kg;EC2F1432-1593-49C9-A8C4-96357DE1F466
Raw;(unspecified);Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore;007440-50-8;1.37E-03;kg;67148176-580A-40E4-A180-DF4575B653BF
Raw;(unspecified);Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore;007440-50-8;1.37E-03;kg;6A517CBC-2607-4A75-894B-B3FE52471C5B
Raw;(unspecified);Copper, Cu 0.2%, in mixed ore;007440-50-8;1.37E-03;kg;39884742-9374-4E5C-B27F-35BCF7EF7CE4
