"","source","code","comm","no_comm","um","critical","mean","min","max"
"88","comtrade","261690","Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",423,"kg","no",3.815597004529,2.46588991666837,7.14643028143635
"89","comtrade","261710","Stibnite",757,"kg","yes",2.19879020791309,1.53894497310543,2.97126556286038
"90","comtrade","270111","Coal, hard",10,"kg","no",0.0850659494358712,0.0695843305102812,0.0980011818352477
"91","comtrade","2702","Coal, brown",13,"kg","no",0.03653956712267,0.0275230065671968,0.0480367618285028
"92","comtrade","2703","Peat",54,"kg","no",0.118798247138461,0.105128792794332,0.131542557600427
"93","comtrade","271410","Shale",85,"kg","no",0.33465129238396,0.156077936561278,0.460655023686445
"94","comtrade","280120","Iodine",430,"kg","no",26.7047456726165,17.384744260969,39.2746559338126
"95","comtrade","280130","Fluorine",158,"kg","no",2.05956867487708,1.42378711881781,3.2941068714423
"96","comtrade","280130","Bromine",369,"kg","no",2.05956867487708,1.42378711881781,3.2941068714423
"97","comtrade","280130","Fluorine, 4.5% in apatite, 3% in crude ore",239,"kg","no",2.05956867487708,1.42378711881781,3.2941068714423
"98","comtrade","280421","Argon",59,"kg","no",0.301001818939938,0.234791081427099,0.345237350008879
"99","comtrade","280430","Nitrogen",21,"kg","no",0.101790397830361,0.0733825580530808,0.113572965520932
"100","comtrade","280440","Oxygen",14,"kg","no",0.121340368074768,0.0970273674791175,0.14169324500687
"101","comtrade","280470","Phosphorus",159,"kg","yes",2.69200226545241,2.40778425511757,3.19407619203094
"102","comtrade","280470","Phosphorus, 18% in apatite, 4% in crude ore",120,"kg","no",2.69200226545241,2.40778425511757,3.19407619203094
"103","comtrade","280530","Gadolinium",952,"kg","yes",25.2112442295253,12.4115764886452,79.8801510534775
"104","comtrade","280530","Samarium",944,"kg","yes",25.2112442295253,12.4115764886452,79.8801510534775
"105","comtrade","280530","Lanthanum",884,"kg","yes",25.2112442295253,12.4115764886452,79.8801510534775
"106","comtrade","282520","Spodumene",383,"kg","no",6.85425667937935,4.27405894831272,10.8631816934531
"107","comtrade","283311","Sodium sulfate",135,"kg","no",0.0853541625533998,0.0756076059527657,0.108164853071917
"108","comtrade","283650","Calcite",16,"kg","no",0.159910528134766,0.136244360049472,0.201847604067931
"109","comtrade","283691","Lithium",359,"kg","yes",6.37597211826731,3.67524550766051,11.6447286097177
"110","comtrade","283692","Strontium",234,"kg","yes",0.944951842141252,0.584797412832576,1.69807727836786
"111","comtrade","283990","Olivine",308,"kg","no",0.993662506781196,0.697091511591196,1.20261725462535
"112","comtrade","2840","Colemanite",113,"kg","no",0.532165923296915,0.473062312953655,0.592723876682223
"113","comtrade","284610","Cerium",837,"kg","yes",11.2205044939634,5.67105542566908,31.0410369859428
"114","comtrade","2852","Cinnabar",386,"kg","no",7.33906001898367,1.40366090976705,14.5022989171576
"115","comtrade","310250","Sodium nitrate",588,"kg","no",0.470037731288023,0.382191984346513,0.552799470711343
"116","comtrade","3104","Carnallite",74,"kg","no",0.260770774838827,0.189539339083489,0.373450985514108
"117","comtrade","711021","Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",334,"kg","no",24351.2719446637,3871.53101233032,59620.937195923
"118","comtrade","711021","Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",380,"kg","no",24351.2719446637,3871.53101233032,59620.937195923
"119","comtrade","711021","Palladium, Pd 1.6E-6%, in mixed ore, in ground",612,"kg","no",24351.2719446637,3871.53101233032,59620.937195923
"120","comtrade","711031","Rhodium, Rh 1.6E-7%, in mixed ore, in ground",765,"kg","no",59519.2456193638,14563.4162160196,286596.320312347
"121","comtrade","711031","Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",411,"kg","no",59519.2456193638,14563.4162160196,286596.320312347
"122","comtrade","711031","Rhodium, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore",499,"kg","no",59519.2456193638,14563.4162160196,286596.320312347
"123","comtrade","8103","Tantalum",141,"kg","yes",162.015621715409,22.3988347085441,258.999987622109
"124","comtrade","8107","Cadmium",101,"kg","no",1.82392612974065,1.08746538404812,2.4674124596252
"125","comtrade","8111","Manganese",47,"kg","no",1.77989193916142,1.37393531939314,2.58748263132227
"126","comtrade","8112","Rhenium",737,"kg","no",12.3341368711705,8.98032561356825,18.6249662323931
"127","comtrade","811221","Chromium",32,"kg","no",8.8871619354997,6.56579524655456,11.7903098967099
"128","eurostat","nrg_pc_205","Energy, kinetic (in wind), converted",5,"MJ","no",0.0185833425328775,0.0150782949801047,0.0213917938517306
"129","eurostat","nrg_pc_205","Energy, gross calorific value, in biomass",3,"MJ","no",0.0185833425328775,0.0150782949801047,0.0213917938517306
"130","eurostat","nrg_pc_205","Energy, gross calorific value, in biomass, primary forest",7,"MJ","no",0.0185833425328775,0.0150782949801047,0.0213917938517306
"131","eurostat","nrg_pc_205","Energy, solar, converted",8,"MJ","no",0.0185833425328775,0.0150782949801047,0.0213917938517306
"132","eurostat","nrg_pc_205","Energy, geothermal, converted",6,"MJ","no",0.0185833425328775,0.0150782949801047,0.0213917938517306
"133","eurostat","nrg_pc_205","Energy, potential (in hydropower reservoir), converted",2,"MJ","no",0.0185833425328775,0.0150782949801047,0.0213917938517306
"134","imf","PALUM","Aluminium",25,"kg","no",1.82005671976337,1.17982250485374,2.70674754057948
"135","imf","PCOBA","Cobalt",442,"kg","yes",30.1334763377152,9.01855263843566,67.4387591681937
"136","imf","PGOLD","Gold",327,"kg","no",25729.558380304,11585.2723456553,52241.5168927138
"137","imf","PIORECR","Iron",12,"kg","no",0.0534248381383352,0.0136031763592258,0.144267081202039
"138","imf","PLEAD","Lead",46,"kg","no",1.35497013998917,0.607386427970284,2.33045818294838
"139","imf","PLMMODY","Molybdenum",140,"kg","no",18.7477854805713,10.768057220112,29.7512693761779
"140","imf","PNGASEU","Gas, natural/m3",463,"m3","no",0.209840538785553,0.0839496661742643,0.440515841141203
"141","imf","POILAPSP","Oil, crude",17,"kg","no",0.346725491326367,0.0956510668161729,0.64024351589141
"142","imf","PPOTASH","Potassium chloride",83,"kg","no",0.225134199383399,0.130393807617388,0.605824772613648
"143","imf","PTIN","Tin",134,"kg","no",12.1971195776739,5.81931709341746,22.3462571648421
"144","imf","PURAN","Uranium",186,"kg","no",62.6745985823194,23.2570531202079,173.651475309503
"145","imf","PZINC","Zinc",36,"kg","no",1.76093689370129,0.8727835266299,4.20001893549159
"146","none","EEXEUAS","Carbon dioxide, in air",19,"kg","no",0,0,0
"147","none","EEXEUAS","Carbon, organic, in soil or biomass stock",93,"kg","no",0,0,0
"148","none",NA,"Gas, mine, off-gas, process, coal mining/m3",462,"m3","no",0,0,0
"149","none",NA,"Carbon dioxide, in air",19,"kg","no",0,0,0
"150","none",NA,"Xenon",1085,"kg","no",0,0,0
"151","none",NA,"Gangue, bauxite, in ground",15,"kg","no",0,0,0
"152","none",NA,"Carbon, organic, in soil or biomass stock",93,"kg","no",0,0,0
"153","none",NA,"Krypton",1001,"kg","no",0,0,0
"154","usitc","2805300020","Neodymium",899,"kg","yes",104.080657405947,40.0461446088828,308.554227162346
